landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
107,0.45294734835624695,0.36188817024230957,-0.11139927804470062,101,81,-24
108,0.43984878063201904,0.2927621304988861,-0.11138444393873215,98,65,-24
109,0.41921842098236084,0.21971863508224487,-0.10732898861169815,93,49,-24
110,0.2918476462364197,0.5004854202270508,-0.06026875600218773,65,112,-13
111,0.21786876022815704,0.5322949886322021,-0.03640877455472946,48,119,-8
112,0.41943472623825073,0.4802042543888092,-0.03775491192936897,93,107,-8
113,0.24507494270801544,0.44804996252059937,-0.06611177325248718,54,100,-14
114,0.45408499240875244,0.5322086215019226,-0.06787683814764023,101,119,-15
115,0.4835638403892517,0.6403218507766724,-0.12369103729724884,108,143,-27
116,0.17963911592960358,0.5498508214950562,-0.01600215956568718,40,123,-3
117,0.2462243288755417,0.5565813779830933,-0.051324512809515,55,124,-11
118,0.29263603687286377,0.568051815032959,-0.061182256788015366,65,127,-13
119,0.352260947227478,0.5582109689712524,-0.05685632303357124,78,125,-12
120,0.3920605778694153,0.5416579246520996,-0.051341209560632706,87,121,-11
121,0.4219389259815216,0.52646803855896,-0.050760671496391296,94,117,-11
122,0.5051504373550415,0.4933713972568512,-0.0887722373008728,113,110,-19
123,0.19109345972537994,0.6142188906669617,-0.012806396931409836,42,137,-2
124,0.21911585330963135,0.4446347653865814,-0.06325651705265045,49,99,-14
125,0.5561404824256897,0.6690158843994141,-0.12874974310398102,124,149,-28
126,0.4409244954586029,0.5830461382865906,-0.06711401045322418,98,130,-15
127,0.09812477231025696,0.46826523542404175,0.11835956573486328,21,104,26
128,0.4467521011829376,0.5105498433113098,-0.050784140825271606,100,114,-11
129,0.4294945001602173,0.6472479701042175,-0.051847439259290695,96,144,-11
130,0.2587278485298157,0.46822333335876465,-0.050182051956653595,57,104,-11
131,0.4741500914096832,0.6195741891860962,-0.11594265699386597,106,138,-25
132,0.12416660785675049,0.6655148267745972,0.17080198228359222,27,149,38
133,0.41586679220199585,0.4696364104747772,-0.03417503833770752,93,105,-7
134,0.5088671445846558,0.6024258136749268,-0.13749143481254578,113,134,-30
135,0.2625676393508911,0.830668568611145,0.0638335719704628,58,186,14
136,0.24674221873283386,0.8492879867553711,0.1137736365199089,55,190,25
137,0.13856211304664612,0.6079158782958984,0.07260186970233917,31,136,16
138,0.21554343402385712,0.7879788875579834,0.07633914798498154,48,176,17
139,0.1504937708377838,0.4242161512374878,0.006140807177871466,33,95,1
140,0.3999154269695282,0.9180819988250732,0.04003261774778366,89,205,8
141,0.5503143072128296,0.6731358170509338,-0.08962786942720413,123,150,-20
142,0.41283246874809265,0.6060453057289124,-0.06016257032752037,92,135,-13
143,0.17829370498657227,0.4898882508277893,-0.014830331318080425,39,109,-3
144,0.325014591217041,0.4875401258468628,-0.06195111945271492,72,109,-13
145,0.3523114025592804,0.48676031827926636,-0.06102534756064415,78,109,-13
146,0.4137999415397644,0.8136933445930481,-0.017181377857923508,92,182,-3
147,0.1984383463859558,0.6710758805274963,0.010184968821704388,44,150,2
148,0.4462713897228241,0.943696141242981,0.0700729563832283,99,211,15
149,0.3483806848526001,0.9123344421386719,0.08287616819143295,78,204,18
150,0.30256155133247375,0.8880232572555542,0.09518162161111832,67,198,21
