имя_файла,дата_обработки,форма_лба,положение_бровей,форма_головы,ошибка,соотношение_лба,средняя_высота_бровей,соотношение_головы
YilqKQz6zk4.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,9.22,20.3,1.18
young-stephen-hawking1.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,6.41,19.6,1.06
young-stephen-hawking3.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,8.98,20.3,1.17
ZfsA8ZztJHQ.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,11.91,24.5,1.27
zg9kl4qRSbw.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,8.28,18.8,1.15
Zvw7u3AwQDw.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,14.92,22.8,1.37
_z94QtwH2-c.jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,16.61,25.6,1.42
Абашев (1).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,7.74,41.3,1.11
Абашев (2).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,7.48,37.1,1.08
Абашев (3).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,9.72,50.2,1.19
Айтова Ве (1).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,9.48,30.2,1.19
Айтова Ве (2).jpg,2025-04-17 15:48:35,прямоугольный,высокие,горизонтальная,,6.32,28.2,1.05
Айтова Ве (3).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.89,72.9,1.22
александр фролов евраз.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.2,15.1,1.2
александр фролов евраз1.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.89,17.7,1.18
александр фролов евраз8i.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,3.51,23.8,0.9
александр фролов евразg.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,11.9,17.0,1.24
александр фролов евразgh.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.17,48.6,1.19
Алексей Яшин (1).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.76,15.8,1.15
Алексей Яшин (2).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,13.08,20.0,1.19
алексей яшин.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.2,15.5,1.21
алексей яшин1.jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,8.69,14.1,1.14
алексей яшин2.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.54,16.8,1.18
алексей яшин4.jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,8.43,14.8,1.13
алексей яшин5.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.88,15.5,1.22
алексей яшин51.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,5.02,16.2,0.98
алексей яшин512.jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,10.4,14.3,1.21
Алина Типикина (1).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.69,20.7,1.16
Алина Типикина (10).jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,7.97,12.7,1.1
Алина Типикина (2).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,7.36,40.1,1.09
Алина Типикина (3).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,6.18,15.4,1.03
Алина Типикина (4).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.68,43.4,1.16
Алина Типикина (5).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.69,19.7,1.19
Алина Типикина (6).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,14.19,103.0,1.34
Алина Типикина (7).jpg,2025-04-17 15:48:36,не определено,не определено,не определено,Лицо не обнаружено
Алина Типикина (8).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,6.94,71.9,1.09
Алина Типикина (9).jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,9.25,5.1,1.17
Алла Клакевич (1).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,6.54,26.1,1.06
Алла Клакевич (10).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,12.98,47.1,1.28
Алла Клакевич (11).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.81,24.4,1.2
